ngram,size,n
capital loss carryovers,3,152
cfte category,2,152
cost shared,2,152
custodial account,2,152
employed individual,2,152
enhanced oil,2,152
indirect ownership,2,152
post 1986 earnings,3,152
property includes,2,152
qualifying income,2,152
reporting model,2,152
return limitation,2,152
u.s assets,2,152
u.s corporation,2,152
u.s real property holding corporation,5,152
corporation pursuant,2,151
depreciation property,2,151
directly connected,2,151
dividends paid deduction,3,151
life insurance reserves,3,151
marketable securities,2,151
owner employee,2,151
payment period,2,151
qualifying debt,2,151
resident alien,2,151
revenue procedures,2,151
separate return limitation,3,151
company sales,2,150
covered compensation,2,150
eligible property,2,150
exchanged basis,2,150
foreign taxable,2,150
inventory items,2,150
living adjustment,2,150
net operating loss carryback,4,150
nonresident aliens,2,150
operating loss carryback,3,150
parachute payment,2,150
passive foreign investment company,4,150
qualified real,2,150
rate debt,2,150
taxable estate,2,150
welfare benefit fund,3,150
1295 election,2,149
base company sales,3,149
cash method,2,149
excess deductions,2,149
foreign base company sales,4,149
intercompany obligation,2,149
key employee,2,149
owns stock,2,149
percentage test,2,149
stated principal amount,3,149
tax exempt income,3,149
tax exemption,2,149
total tax,2,149
accounting principles,2,148
allocable portion,2,148
alternative tax,2,148
annual payments,2,148
applied separately,2,148
bonus depreciation,2,148
company taxable,2,148
developed countries,2,148
estate taxes,2,148
federal insurance,2,148
filing returns,2,148
passenger automobile,2,148
percent additional,2,148
pre existing,2,148
qualifying debt instrument,3,148
active trade,2,147
bie carryforward,2,147
bonus depreciation property,3,147
connected income,2,147
corporation makes,2,147
corporation owned,2,147
deferral election,2,147
excess aggregate,2,147
federal insurance contributions,3,147
insurance contributions,2,147
issued pursuant,2,147
limitation loss,2,147
personal exemptions,2,147
profit split,2,147
qualified rehabilitation expenditures,3,147
registered deemed compliant ffi,4,147
separate categories,2,147
allocable contract,2,146
amount excluded,2,146
business entity,2,146
company sales income,3,146
dsue amount,2,146
economic benefit,2,146
effectively connected income,3,146
enhanced oil recovery,3,146
excise taxes,2,146
foreign trust created,3,146
iron ore,2,146
mental health,2,146
natural resource recapture,3,146
oil recovery,2,146
percent bonus,2,146
political organization,2,146
public charity,2,146
reasonable basis,2,146
resource recapture,2,146
balance method,2,145
base company sales income,4,145
domestic entity acquisition,3,145
enrolled actuary,2,145
entity acquisition,2,145
foreign base company sales income,5,145
percent bonus depreciation,3,145
percent bonus depreciation property,4,145
percent capital,2,145
return including extensions,3,145
revenue rulings,2,145
standard deduction,2,145
t.d 9436,2,145
1256 contract,2,144
amount deductible,2,144
attains age,2,144
bargained employees,2,144
decedents dying,2,144
declining balance method,3,144
event occurs,2,144
exchange commission,2,144
exclusion amount,2,144
generation skipping transfer,3,144
income deduction,2,144
natural resource recapture property,4,144
ownership percentage,2,144
payee underreporting,2,144
qualified tax,2,144
resource recapture property,3,144
single plan,2,144
skipping transfer,2,144
statements required,2,144
unpredictable contingent,2,144
adjusted net,2,143
amount computed,2,143
business unit,2,143
crediting rate,2,143
excess deferrals,2,143
financial services,2,143
incentive stock option,3,143
income limitation,2,143
net inside,2,143
production period,2,143
profits tax,2,143
property distributed,2,143
publicly traded partnership,3,143
rate pool,2,143
tested loss,2,143
traded partnership,2,143
trust property,2,143
unused foreign,2,143
1.0 1.0,2,142
allocable contract costs,3,142
held directly,2,142
highway motor,2,142
insurance business,2,142
itemized deductions,2,142
listed property,2,142
mortgage bonds,2,142
nonrecourse deductions,2,142
operating profit,2,142
percentage ownership,2,142
prior plan,2,142
retroactive election,2,142
stock purchase plan,3,142
withholding rate pool,3,142
amortization base,2,141
amounts included,2,141
capital gain dividend,3,141
charitable organization,2,141
endowment contract,2,141
gain dividend,2,141
internal revenue officer,3,141
investment yield,2,141
presence test,2,141
production payment,2,141
real property tax,3,141
recognizes gain,2,141
surplus account,2,141
allowable deductions,2,140
cost sharing arrangement,3,140
foreign oil,2,140
include amounts,2,140
production expenditures,2,140
reasonable compensation,2,140
returns required,2,140
takes effect,2,140
u.s dollar,2,140
adjusted payout,2,139
comparability rules,2,139
federal income tax liability,4,139
inside attribute,2,139
inside attribute amount,3,139
internal revenue service office,4,139
loss realized,2,139
net inside attribute,3,139
net inside attribute amount,4,139
pension fund,2,139
requirements set,2,139
revenue service office,3,139
separate limitation loss,3,139
separate maintenance,2,139
structural components,2,139
transactions occurring,2,139
undue hardship,2,139
war profits,2,139
1.861 9t,2,138
adjusted taxable,2,138
aggregate contributions,2,138
aggregate foreign,2,138
annuity payable,2,138
applicable mortality,2,138
benefit guaranty,2,138
benefit guaranty corporation,3,138
condition fringe,2,138
contracting party,2,138
credit certificate,2,138
deduction limit,2,138
designated roth account,3,138
disqualified individual,2,138
fc stock,2,138
foreign surviving corporation,3,138
guaranty corporation,2,138
income allocable,2,138
internal revenue district,3,138
loss duplication,2,138
passthrough entity,2,138
pension benefit guaranty,3,138
pension benefit guaranty corporation,4,138
revenue district,2,138
roth account,2,138
ten percent,2,138
testing method,2,138
2008 t.d 9436,3,137
amounts treated,2,137
applicable election,2,137
applicable fraction,2,137
asset sale,2,137
based compensation,2,137
cost depletion,2,137
credit ceiling,2,137
deductions attributable,2,137
employee stock ownership plan,4,137
employer sponsored,2,137
financial statements,2,137
foreclosure property,2,137
futures contract,2,137
housing credit ceiling,3,137
mortgage credit certificate,3,137
ownership plan,2,137
personal exemption,2,137
property contributed,2,137
stock ownership plan,3,137
target normal,2,137
transitional rules,2,137
u.s federal,2,137
anticipated benefits,2,136
cash position,2,136
dc stock,2,136
employee stock purchase,3,136
employees covered,2,136
energy property,2,136
entity separate,2,136
income method,2,136
reliable measure,2,136
supported organization,2,136
suspense account,2,136
territory financial,2,136
call option,2,135
charitable deduction,2,135
controlled entity,2,135
cooperative housing,2,135
direct reporting nffe,3,135
experimental expenditures,2,135
loss sustained,2,135
reporting nffe,2,135
separate property,2,135
source gross,2,135
target normal cost,3,135
term includes,2,135
1545 0123,2,134
1987 accumulated,2,134
account based,2,134
attribution rules,2,134
business investment,2,134
capital stock,2,134
cfc inclusion,2,134
contingent event,2,134
cost basis,2,134
covered entity,2,134
dwelling unit,2,134
farming purposes,2,134
fast pay,2,134
hedging transactions,2,134
income corporation,2,134
investment entity,2,134
pre 1987 accumulated,3,134
principal payments,2,134
reinsurance agreement,2,134
whistleblower office,2,134
1987 accumulated profits,3,133
cfc2 stock,2,133
corporation acquires,2,133
filing form,2,133
limited partnership,2,133
percent capital gain,3,133
percent capital gain property,4,133
permitted holdings,2,133
poverty line,2,133
pre 1987 accumulated profits,4,133
property taxes,2,133
required information,2,133
subgroup parent,2,133
term eligible,2,133
amounts distributed,2,132
basis reduction,2,132
circumstances including,2,132
contribution plans,2,132
controlled partnership,2,132
corporation immediately,2,132
defined contribution plans,3,132
domestic corporation owns,3,132
farming business,2,132
gain attributable,2,132
gas property,2,132
mixed service,2,132
modified adjusted,2,132
modified adjusted gross,3,132
qof partnership,2,132
rate determined,2,132
reportable policy,2,132
residential rental,2,132
services income,2,132
shareholder inclusion,2,132
stock immediately,2,132
taxpayer establishes,2,132
taxpayer's return,2,132
u.s corp,2,132
underlying security,2,132
amount due,2,131
applicable tax exempt,3,131
balance sheet,2,131
business days,2,131
disposition amount,2,131
equivalent amount,2,131
extensions thereof,2,131
foreign partner,2,131
income tax imposed,3,131
income war,2,131
income war profits,3,131
safe harbors,2,131
separately stated,2,131
taxpayer owns,2,131
unpredictable contingent event,3,131
1.1 1.1,2,130
7805 t.d,2,130
allocation rate,2,130
amounts determined,2,130
asset depreciation,2,130
assets transferred,2,130
company taxable income,3,130
domestic trust,2,130
initial measurement,2,130
initial measurement period,3,130
integration level,2,130
limitation category,2,130
minimum amount,2,130
modified adjusted gross income,4,130
net worth,2,130
payout rate,2,130
property located,2,130
segregated asset,2,130
tax information,2,130
u.s shareholder inclusion,3,130
wholly owns,2,130
2014 t.d,2,129
basis determined,2,129
de minimis amount,3,129
income pursuant,2,129
inventory property,2,129
life insurance contracts,3,129
measurement method,2,129
minimis amount,2,129
net foreign,2,129
passive investment,2,129
payment received,2,129
required minimum distribution,3,129
retirement annuity,2,129
alternate valuation,2,128
applicable debt,2,128
clinical testing,2,128
controlled transaction,2,128
deferred foreign income corporation,4,128
designated property,2,128
employee stock purchase plan,4,128
foreign income corporation,3,128
gain loss deduction,3,128
highway motor vehicle,3,128
human services,2,128
qualified education,2,128
qualified employer plan,3,128
tax payable,2,128
taxable expenditure,2,128
u.s federal income,3,128
uniform basis,2,128
wage limitation,2,128
adjusted payout rate,3,127
amount withheld,2,127
applicable mortality table,3,127
background file,2,127
base erosion payment,3,127
benefit accrual,2,127
bonus plan,2,127
certification period,2,127
distributed property,2,127
dollar life,2,127
dollar life insurance,3,127
erosion payment,2,127
foreign trade,2,127
installment obligations,2,127
internal revenue service irs,4,127
plan termination,2,127
pollution control,2,127
post change,2,127
primary purpose,2,127
rate debt instrument,3,127
revenue service irs,3,127
sales proceeds,2,127
service irs,2,127
split dollar life,3,127
split dollar life insurance,4,127
surgical benefits,2,127
taxable event,2,127
taxpayer's income tax,3,127
u.s federal income tax,4,127
1248 amount,2,126
2009 t.d,2,126
deductions account,2,126
disclosure statement,2,126
edition revised,2,126
eligible governmental,2,126
eligible qbu,2,126
equal partners,2,126
excess deductions account,3,126
fifty percent,2,126
historic absorption,2,126
legal holiday,2,126
manufacturing business,2,126
obligation issued,2,126
partner nonrecourse,2,126
partnership minimum,2,126
partnership minimum gain,3,126
qualified research expenses,3,126
tax return filed,3,126
1.0 2.0,2,125
1545 0074,2,125
2004 t.d,2,125
applicable tax exempt organization,4,125
asset accounts,2,125
branch category,2,125
community income,2,125
credit card,2,125
external review,2,125
floor stocks,2,125
foreign branch category,3,125
foreign taxes paid,3,125
historic absorption ratio,3,125
income gain loss deduction,4,125
medical benefits,2,125
